,y
17142,1
17143,1
17144,1
17322,1
17323,1
17470,0
17518,0
17826,1
17827,1
17828,1
17829,1
17974,1
18136,1
18137,1
18181,0
18349,0
18350,0
18405,1
18577,1
18584,1
18585,1
18618,1
18760,1
18801,1
18802,1
18926,1
19139,1
19184,0
19231,0
19232,0
19238,1
19239,1
19240,1
19311,1
19491,1
19492,1
19556,1
19557,1
19566,0
19656,1
19675,0
19717,1
19718,1
19755,1
19761,0
19835,1
19836,1
19982,1
19987,1
20059,1
20088,1
20230,1
20231,1
20232,1
20280,1
20282,1
20283,1
20305,0
20306,0
20307,0
20421,1
20445,1
20446,1
20447,1
20468,0
20495,0
20530,0
20531,0
20572,0
20620,1
20622,1
20643,0
20654,1
20655,1
20673,0
20907,0
20918,0
20919,0
20922,1
20923,1
21060,0
21132,0
21133,0
21207,1
21208,1
21209,1
21210,1
21212,1
21213,1
21214,1
21215,1
21217,1
21218,1
21224,1
21225,1
21293,1
21298,1
21299,1
21300,1
21301,1
21302,1
21303,1
21350,1
21436,0
21587,1
21666,0
21733,1
21827,1
21842,1
21892,1
21893,1
21894,1
21895,1
21987,1
22028,1
22029,1
22030,1
22031,1
22032,1
22169,0
22237,1
22238,1
22271,0
22284,1
22291,1
22357,0
22382,1
22383,0
22385,1
22501,0
22648,0
22765,0
22833,0
22871,1
22872,1
22873,1
22874,0
22875,0
22927,0
22928,0
23070,1
23170,1
23171,1
23172,1
23173,1
23174,1
23215,1
23219,1
23220,1
23221,1
23337,1
23361,1
23362,1
23896,1
23927,1
23928,1
23929,1
23930,1
23936,1
23937,1
23938,1
23939,1
23940,1
23941,1
23942,1
23979,1
24006,1
24008,1
24122,1
24230,1
24231,1
24245,1
24246,1
24317,1
24318,1
24320,0
24451,1
24557,0
24558,0
24574,0
24597,0
24618,1
24667,0
24675,0
24676,0
24697,1
24944,1
25081,0
25108,1
25109,1
25110,1
25111,1
25112,1
25167,0
25282,0
25589,0
25628,1
25629,1
25631,1
25634,1
25702,1
25778,0
25878,1
25879,1
25942,0
25943,0
25944,0
26039,0
26149,1
26216,1
26217,1
26274,0
26275,0
26294,1
26357,1
26358,1
26362,1
26363,1
26364,1
26397,1
26398,1
26464,1
26488,1
26489,1
26490,1
26493,1
26495,1
26511,1
26512,1
26518,1
26543,1
26559,1
26563,1
26566,1
26586,0
26628,1
26629,1
26630,1
26631,0
26702,1
26754,1
26755,1
26756,1
26757,1
26810,0
26827,0
26828,0
26829,0
26830,0
26909,1
26915,0
26916,0
26917,0
27046,1
27047,1
27105,0
27106,0
27107,0
27108,0
27194,1
27255,0
27315,0
27331,0
27345,1
27346,1
27431,0
27432,1
27433,1
27434,1
27435,1
27502,1
27581,1
27585,1
27602,1
27603,1
27614,1
27615,1
27734,1
27735,1
27736,1
27737,1
27738,1
27739,1
27747,0
27750,0
27763,1
27764,1
27765,1
27856,0
27882,1
27883,1
27959,1
27967,1
27968,1
28088,1
28089,1
28090,1
28401,1
28539,1
28552,0
28553,0
28554,1
28555,1
28556,1
28598,1
28599,1
28653,1
28673,1
28674,1
28675,1
28676,1
28762,0
28767,0
28830,1
28854,1
28933,1
28934,1
28942,0
28985,1
28986,1
28987,1
29058,1
29089,1
29123,1
29150,1
29322,1
29323,0
29324,0
29371,1
29394,1
29395,1
29492,1
29543,1
29544,1
29546,1
29547,1
29628,1
29629,0
29700,1
29702,1
29729,1
29730,1
29731,1
29940,1
29941,1
29942,1
29992,0
29993,1
29998,1
29999,1
30000,1
30001,1
30002,1
30003,1
30004,1
30005,1
30006,1
30020,1
30076,1
30077,1
30198,0
30211,1
30226,1
30228,0
30293,0
30335,1
30336,1
30494,1
30495,1
30509,1
30522,0
30690,1
30761,1
30841,1
30972,1
30973,1
30974,1
30975,1
30976,1
30977,1
30978,1
30979,1
30980,1
30981,1
30983,1
30984,1
30985,1
30986,1
30987,1
30996,1
31027,0
31028,0
31034,1
31035,1
31100,1
31101,1
31102,1
31103,1
31104,1
31105,1
31152,1
31160,0
31217,0
31218,0
31219,1
31221,0
31222,1
31251,1
31260,1
31276,1
31286,1
31292,0
31293,0
31294,0
31295,0
31297,1
31416,1
31417,1
31423,1
31424,1
31485,1
31486,1
31487,1
31498,1
31561,1
31623,1
31727,1
31728,1
31729,1
31901,1
32031,1
32214,1
32501,1
32508,1
32547,0
32703,1
32704,1
32776,1
32809,0
32810,0
32811,0
32812,0
32813,0
32814,0
32815,0
32816,0
32817,0
32818,0
32819,0
32820,0
32881,1
33058,1
33059,1
33094,0
33095,0
33128,1
33129,1
33130,1
33438,0
33440,0
33672,0
33697,0
33825,0
33826,0
33827,0
33882,1
33973,0
33974,0
34028,1
34034,1
34035,1
34051,1
34055,1
34056,1
34060,1
34061,1
34064,1
34108,1
34109,1
34240,1
34391,1
34452,1
34453,1
34454,1
34455,1
34456,1
34457,1
34458,1
34459,1
34463,1
34464,1
34465,1
34466,1
34467,1
34469,1
34470,1
34471,1
34472,1
34533,0
34581,1
34596,1
34597,1
34621,1
34622,1
34623,1
34625,1
34626,1
34627,1
34628,1
34630,1
34631,0
34633,1
34634,1
34635,1
34636,1
34681,0
34711,1
34843,0
35015,1
35051,0
35156,1
35226,1
35227,1
35228,1
35229,1
35304,0
35328,1
35329,1
35338,0
35339,0
35361,0
35362,0
35383,1
35384,1
35391,0
35392,0
35416,0
35417,0
35504,1
35505,1
35506,1
35507,1
35532,1
35610,1
35664,1
35665,1
35666,1
35667,1
35742,1
35750,1
35812,1
35813,1
35851,1
35852,1
35853,1
35854,1
35970,1
35971,1
35972,1
35996,0
35999,1
36253,1
36255,1
36350,1
36361,1
36475,1
36476,1
36477,1
36478,1
36479,1
36480,1
36482,1
36483,1
36484,1
36485,1
36486,1
36504,1
36505,1
36523,0
36533,0
36676,0
36677,0
36678,0
36680,0
36681,1
36682,1
36683,1
36684,1
36750,0
36751,0
36753,0
36782,1
36783,1
36870,0
36941,1
36942,1
37000,1
37017,1
37165,0
37244,0
37276,1
37288,1
37306,1
37433,1
37440,1
37441,1
37443,1
37444,0
37503,1
37509,1
37534,1
37653,0
37698,0
37699,0
37700,0
37769,1
37800,1
37908,1
37910,1
37913,1
37917,1
