,y
25372,1
25373,1
25374,0
25375,0
25469,1
25544,1
26169,1
26176,1
26199,1
26200,1
26201,1
26202,1
26203,1
26204,1
26261,1
26262,1
26285,1
26286,1
26287,1
26391,1
26392,1
26393,1
26405,1
26417,1
26418,1
26424,1
26425,1
26462,1
26463,1
26492,1
26494,1
26496,1
26497,1
26531,1
26532,1
26533,1
26550,1
26565,1
26608,1
26609,1
26610,1
26611,1
26612,1
26613,1
26622,1
26623,1
26624,1
26689,1
26690,1
26691,1
26692,1
26710,1
26711,1
26712,1
26713,1
26714,1
26715,1
26716,1
26717,1
26718,1
26719,1
26720,1
26721,1
26722,1
26723,1
26724,1
26725,1
26726,1
26727,1
26748,1
26749,1
26751,1
26758,1
26877,1
26894,1
26910,1
26911,1
26912,1
26913,1
26935,0
26936,1
27000,1
27001,1
27002,1
27003,1
27004,1
27005,1
27020,1
27054,0
27055,1
27069,1
27072,1
27196,0
27263,1
27264,1
27314,1
27325,1
27326,1
27327,1
27328,1
27347,1
27407,1
27408,1
27409,1
27414,1
27415,1
27468,1
27580,1
27582,1
27583,1
27584,1
27586,1
27587,1
27588,1
27589,1
27590,1
27591,1
27592,1
27593,1
27594,1
27604,1
27613,1
27661,1
27704,1
27705,1
27706,1
27707,1
27708,1
27709,1
27710,1
27711,1
27712,1
27713,1
27714,1
27715,1
27716,1
27717,1
27718,1
27832,1
27833,1
27834,1
27835,1
27836,1
27837,1
27838,1
27839,1
27945,1
27986,1
28171,1
28172,1
28173,1
28174,1
28178,1
28179,1
28180,1
28402,1
28403,1
28408,1
28409,1
28542,1
28763,0
28764,0
28765,0
28766,0
28988,1
29087,1
29088,1
29091,1
29092,1
29393,1
29489,1
29493,1
29494,1
29495,1
29555,1
29579,1
29630,0
29715,1
29716,1
29752,0
29915,1
29916,1
29917,1
29919,1
29920,1
29921,1
29923,1
29924,1
29925,1
29926,1
29927,1
29928,1
29929,1
29930,1
29931,1
29932,1
29933,1
29938,1
29939,1
29943,1
30007,1
30021,1
30022,1
30023,1
30024,1
30026,1
30027,1
30060,1
30061,1
30062,1
30178,1
30190,1
30191,1
30196,1
30199,0
30206,1
30210,1
30221,1
30227,0
30229,0
30266,1
30292,0
30337,1
30338,1
30351,1
30352,1
30353,1
30354,1
30355,1
30356,1
30357,1
30358,1
30359,1
30360,1
30361,1
30362,1
30363,1
30364,1
30365,1
30366,1
30502,1
30510,1
30541,1
30542,1
30543,1
30544,1
30545,1
30546,1
30547,1
30548,1
30549,1
30550,1
30551,1
30552,1
30553,1
30554,1
30555,1
30556,1
30557,1
30558,1
30559,1
30560,1
30561,1
30562,1
30563,1
30564,1
30565,1
30566,1
30567,1
30568,1
30569,1
30570,1
30571,1
30572,1
30679,1
30778,1
30779,1
30780,1
30781,1
30782,1
30783,1
30814,1
30895,1
30896,1
30897,1
30898,1
30899,1
30900,1
30901,1
31151,1
31180,1
31181,1
31182,1
31205,1
31206,1
31207,1
31208,1
31210,1
31211,1
31254,1
31255,1
31256,1
31257,1
31258,1
31259,1
31261,1
31262,1
31263,1
31264,1
31265,1
31266,1
31267,1
31268,1
31269,1
31270,1
31271,1
31272,1
31273,1
31274,1
31275,1
31277,1
31278,1
31279,1
31280,1
31281,1
31282,1
31283,1
31284,1
31285,1
31287,1
31381,1
31382,1
31383,1
31411,1
31418,1
31419,1
31425,1
31458,1
31478,1
31479,1
31547,1
31548,1
31549,1
31592,1
31624,1
31627,1
31628,1
31640,1
31641,1
31642,1
31643,1
31644,1
31645,1
31646,1
31647,1
31648,1
31649,1
31650,1
31651,1
31652,1
31653,1
31654,1
31655,1
31656,1
31657,1
31658,1
31659,1
31660,1
31661,1
31662,1
31663,1
31664,1
31665,1
31666,1
31667,1
31668,1
31669,1
31670,1
31671,1
31672,1
31673,1
31674,1
31675,1
31676,1
31677,1
31678,1
31680,1
31681,1
31682,1
31683,1
31684,1
31685,1
31686,1
31687,1
31688,1
31689,1
31690,1
31691,1
31692,1
31693,1
31694,1
31695,1
31696,1
31697,1
31698,1
31699,1
31700,1
31701,1
31702,1
31703,1
31704,1
31705,1
31706,1
31707,1
31708,1
31709,1
31710,1
31711,1
31712,1
31713,1
31714,1
31715,1
31716,1
31717,1
31718,1
31719,1
31720,1
31721,1
31819,1
31820,1
31821,1
31962,1
31963,1
31964,1
32041,1
32042,1
32043,1
32044,1
32045,1
32046,1
32047,1
32048,1
32049,1
32078,1
32079,1
32080,1
32081,1
32082,1
32509,1
32510,1
32511,1
32620,1
32623,1
32624,1
32625,1
32626,1
32627,1
32628,1
32629,1
32630,1
32631,1
32632,1
32633,1
32634,1
32635,1
32641,1
32642,1
32643,1
32716,1
32717,1
32718,1
32882,1
32933,1
32952,1
32953,1
32954,1
33061,1
33064,1
33065,1
33239,1
33426,1
33427,1
33428,1
33429,1
33430,1
33431,1
33432,1
33433,1
33434,1
33435,1
33436,1
33437,1
33486,1
33487,1
33488,1
33489,1
33490,1
33491,1
33492,1
33493,1
33494,1
33495,1
33496,1
33523,1
33524,1
33525,1
33526,1
33527,1
33528,1
33529,1
33530,1
33531,1
33532,1
33533,1
33534,1
33535,1
33536,1
33537,1
33538,1
33539,1
33540,1
33541,1
33542,1
33543,1
33544,1
33545,1
33546,1
33547,1
33548,1
33549,1
33550,1
33551,1
33552,1
33553,1
33554,1
33555,1
33556,1
33557,1
33558,1
33559,1
33561,1
33562,1
33563,1
33564,1
33565,1
33569,1
33570,1
33571,1
33572,1
33573,1
33574,1
33575,1
33576,1
33577,1
33578,1
33580,1
33581,1
33582,1
33583,1
33584,1
33585,1
33586,1
33587,1
33588,1
33589,1
33590,1
33591,1
33592,1
33593,1
33596,1
33597,1
33598,1
33599,1
33600,1
33601,1
33602,1
33603,1
33620,1
33623,1
33624,1
33625,1
33698,0
34266,1
34267,1
34268,1
34269,1
34270,1
34271,1
34325,1
34342,1
34343,1
34344,1
34345,1
34346,1
34347,1
34348,1
34349,1
34350,1
34435,1
34436,1
34536,1
34562,1
34563,1
34564,1
34565,1
34566,1
34567,1
34569,1
34570,1
34607,1
34624,1
34629,1
34632,1
34662,1
34732,0
34769,1
35035,1
35148,1
35155,1
35225,1
35246,1
35316,1
35317,1
35318,1
35319,1
35320,1
35321,1
35322,1
35323,1
35485,1
35486,1
35487,1
35488,1
35489,1
35490,1
35494,1
35495,1
35521,1
35522,1
35524,1
35525,1
35632,1
35668,1
35680,0
35681,0
35688,1
35747,1
35748,1
35776,1
35777,1
35791,1
35849,1
35850,1
35866,1
35879,1
35966,1
35986,1
36000,1
36001,1
36016,1
36022,1
36023,1
36077,1
36078,1
36079,1
36080,1
36081,1
36082,1
36083,1
36084,1
36085,1
36086,1
36087,1
36088,1
36089,1
36090,1
36091,1
36092,1
36093,1
36094,1
36095,1
36096,1
36097,1
36098,1
36099,1
36100,1
36101,1
36102,1
36103,1
36197,1
36198,1
36199,1
36200,1
36201,1
36202,1
36208,1
36304,1
36305,0
36309,0
36310,0
36330,1
36351,1
36352,1
36353,1
36403,1
36410,1
36417,1
36467,1
36503,1
36571,1
36679,0
36762,1
36910,1
37016,1
37019,1
37113,1
37114,1
37115,1
37116,1
37117,1
37118,1
37119,1
37166,1
37167,1
37277,1
37347,1
37413,1
37466,1
37579,1
37616,1
37617,1
37618,1
37619,1
37620,1
37621,1
37735,1
37736,1
37737,1
37738,1
37739,1
37740,1
37741,1
37742,1
37743,1
37766,1
37767,1
37768,1
37770,1
37771,1
37838,1
37839,1
37840,1
37906,1
37907,1
37909,1
37911,1
37912,1
37914,1
37915,1
37916,1
37918,1
37919,1
37920,1
37921,1
37961,1
38011,1
